,Valve,Ventricle,Atrium,Heart,Adipose,Adipocyte,Osteoblast,Stromal cell,Chondrocyte,Bone marrow,Intestinal epithelial cell,Hepatic stellate cell,Small intestine,Liver,Colon,Colon mucosa,Hepatocyte,Esophagus,Beta cell,Gastric epithelial cell,Alpha cell,Pancreatic islet,Macrophage,Dendritic cell,Kupffer cell,Microglia,Neutrophil,Thymocyte,Plasmacytoid dendritic cell,Granulocyte,Spleen,Thymus,Blymphocyte,Tlymphocyte,Plasma cell,Skin,Fibroblast,Hair follicle,Melanocyte,Basal cell,Keratinocyte,Airway smooth muscle,Skeletal muscle,Vascular smooth muscle,Myofibroblast,Myoblast,Spinal cord,Cerebellum,Medulla,Thalamus,Hypothalamus,Pons,Retina,Cerebral cortex,Sensory neuron,Astrocyte,Motor neuron,Neuron,Oligodendrocyte,Midbrain,Lung,Lung epithelial cell,Trachea,Renal cortex,Ovary,Kidney,Granulosa,Testis,Podocyte,Oocyte,Breast,Mammary gland
C1QTNF5,9.86254,6.86236,6.57019,6.06605,8.30694,7.51341,7.57358,6.63818,7.31988,0.113644,0.661663,7.13892,5.63312,5.07842,3.1737,3.48123,3.39116,0.113644,1.81287,5.13028,0.113644,0.113644,0.113644,0.113644,4.8309,3.05618,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,5.34282,6.35023,6.01613,6.89949,2.61696,1.20968,8.18742,5.79561,6.54968,6.35497,5.63312,7.50248,2.61696,2.41968,7.66284,7.88609,0.113644,4.00388,4.84145,3.1737,5.25971,0.113644,2.77595,5.04875,4.56034,0.113644,0.113644,3.1737,5.6831,3.48123,1.20968,0.113644,0.113644,3.64478,0.113644,0.113644,0.113644
C1R,13.8967,11.3512,11.8057,11.233,12.5947,11.8448,10.9725,10.5448,12.3977,5.99799,4.53781,12.1431,10.1594,13.6565,6.88558,6.77152,12.1406,10.1192,4.40897,6.27298,4.77752,6.95675,5.79561,4.43111,13.7352,6.05806,5.84343,5.07842,3.89584,7.11459,5.59303,5.00836,5.484,5.49388,6.06605,10.8284,10.5308,9.29243,7.15725,6.3224,6.68963,14.5779,9.23137,10.7651,12.7591,10.2819,9.77522,5.76006,7.96649,7.67462,8.62905,6.14657,7.66095,5.83986,3.39116,7.58896,4.59911,4.93037,5.4302,5.45333,8.25328,8.85427,8.21748,10.0405,9.96153,6.49365,8.73776,7.1528,7.82526,4.87314,5.57065,5.25971
C1S,13.308,11.3833,11.1624,10.1686,11.7257,12.0728,10.9124,11.1395,12.5203,6.23741,5.62179,12.1406,10.2979,14.0973,6.48238,6.70353,13.0961,10.1576,4.6924,4.88658,6.76675,8.27173,6.31418,5.79561,14.388,7.14836,4.51527,6.47324,5.03566,6.08194,5.49388,5.95167,5.20789,5.45333,6.79623,10.9328,10.8062,9.24072,5.77627,6.01703,5.98306,14.736,9.75925,11.1414,12.0324,9.13927,10.5097,7.45283,8.12854,7.90454,8.05298,6.01703,8.04335,5.7177,5.81111,7.38198,6.41035,5.61397,5.78326,5.59303,8.68093,9.33881,7.53071,9.58305,9.79464,5.7726,9.11938,8.22184,7.80204,7.06978,5.58184,4.89983
CCL13,5.98096,3.48123,2.16272,0.113644,5.15699,2.16272,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,4.80976,12.1941,2.61696,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.83218,1.20968,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644
CCL18,8.82952,3.70787,2.2912,0.113644,4.74622,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,7.45868,9.33926,4.48868,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,6.30103,2.16272,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644
CCL2,10.8708,7.50607,7.66804,8.42438,6.0727,7.58896,8.76176,7.59973,8.99428,0.113644,0.113644,7.36331,6.13094,5.98306,3.83218,6.53855,5.51459,1.20968,1.81287,6.93921,0.113644,1.20968,11.0947,8.34797,9.82746,7.33897,2.92457,0.113644,3.70787,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,7.09227,7.83709,6.56644,5.22167,1.81287,1.81287,9.26166,4.71212,10.341,10.9969,0.113644,6.39889,0.113644,4.83745,3.48123,4.38682,2.16272,4.79364,4.6103,5.69219,6.68963,2.16272,3.28517,2.61696,2.77595,6.16133,8.42051,2.16272,7.85213,4.31312,3.39116,1.20968,2.51832,7.31657,0.113644,2.41968,0.113644
CCL7,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,2.16272,0.113644,2.41968,0.113644,0.113644,2.41968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,6.95675,3.89584,5.15711,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,3.64478,0.113644,4.31312,4.83868,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644
CCL8,4.34675,3.05618,1.20968,0.113644,3.89584,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,7.19032,6.62962,4.06061,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.56825,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644
CD63,13.0582,12.2382,12.6378,12.6194,13.3752,13.1515,13.0553,13.1204,12.9992,11.1067,12.9005,13.1706,12.2286,11.8653,12.1722,12.4375,12.7414,11.9361,11.8787,12.9664,12.3696,13.4388,13.6165,12.7117,12.568,12.5307,11.0793,7.63847,10.3261,11.5059,10.5198,8.52204,10.5389,9.47929,11.7301,12.4456,13.2031,11.5173,14.4612,11.8867,11.6537,13.5785,11.5687,13.2369,12.983,13.7839,10.9219,7.94077,11.823,12.3039,12.2754,11.3002,11.529,10.6003,11.4251,11.9785,11.3254,11.0916,10.6019,11.4073,12.3125,12.1981,12.6668,11.4837,11.9194,11.4411,12.8393,10.5147,12.3696,9.87214,12.1074,11.8713
CH25H,5.38651,3.05618,2.16272,1.81287,4.21911,5.28658,3.70787,1.9878,3.11494,0.113644,0.113644,4.05534,3.64478,1.20968,1.20968,2.85026,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,3.1737,6.56004,2.51832,2.16272,0.113644,0.113644,0.113644,0.113644,2.77595,0.113644,0.113644,1.20968,0.113644,2.92457,2.92457,1.9878,1.81287,1.20968,1.81287,4.3519,0.113644,3.39116,4.05534,0.113644,4.77752,0.113644,2.41968,3.05618,3.76961,0.113644,0.113644,1.9878,2.77595,1.20968,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,3.56825,1.20968,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644
